@relation 'pollen-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.RankSearch -S 1 -R 0 -A weka.attributeSelection.GainRatioAttributeEval --'

@attribute 1 numeric
@attribute 4 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 18 numeric
@attribute 20 numeric
@attribute 24 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 42 numeric
@attribute 44 numeric
@attribute 47 {1,2,3,4,5,6,7,8,9}

@data
116,82.288,82.288,109.14,7529,94.992,0.94129,331.42,0.67883,0.8108,29,58,86,0.7824,2.6628,2.85,2.5287,4.7619,5.2863,4.3087,7086,6994,6125,161,1,11,5
115,78.437,78.437,120.85,10605,111.73,0.92447,392.33,0.65579,0.8004,28.75,57.5,129,0.72187,3.6607,3.8329,3.6477,5.5126,6.078,5.0492,9802,9531,7539,1644,1,1,5
120,79.601,79.601,114.03,8702,103.9,0.97426,348.16,0.72835,0.87892,30,60,96,0.60856,2.7082,2.7001,2.8192,4.301,4.4475,3.395,8314,5609,3666,477,16,8,5
128,78.687,78.687,123.47,10728,115.39,0.97483,385.53,0.74276,0.88417,32,64,109,0.39502,3.216,3.1252,3.4573,5.1644,5.2457,3.7443,10396,5439,2270,883,4,7,5
112,75.671,75.671,108.88,8939,104.86,0.9661,357.7,0.72063,0.84816,28,56,107,0.83099,2.5112,2.457,2.9785,3.229,3.2263,4.3345,8569,3386,492,91,4,13,5
134,85.479,85.485,132.18,12644,125.11,0.97232,419.65,0.71121,0.87724,33.5,67,127,0.56441,4.2746,4.4327,4.0329,6.2484,6.648,4.4867,12275,12125,11378,4574,3,4,5
123,89.116,89.123,118.66,9890,110.23,0.96491,401.76,0.69273,0.74296,30.75,61.5,111,0.67257,3.1024,3.1216,3.5637,3.7416,3.7663,4.9788,8286,7543,5994,390,4,32,6
136,88.142,88.156,136.58,13333,127.66,0.95995,447.08,0.7076,0.80465,34,68,130,0.3448,4.6599,4.737,4.4546,5.8698,5.7291,5.4848,12206,11403,10125,6858,1,5,6
123,87.764,87.756,135.37,12001,119.71,0.93784,430.21,0.6583,0.76416,30.75,61.5,131,0.29623,4.3662,4.4183,4.1478,5.4391,5.4727,5.13,10767,10046,8638,5640,1,1,6
127,90.564,90.564,126.02,11544,117.38,0.93737,473.37,0.67623,0.60685,31.75,63.5,125,0.6127,4.044,4.1242,3.7293,5.8708,6.0665,5.2626,10816,10729,9346,2196,1,20,6
136,101.99,101.99,123.91,10088,104.57,0.85131,509.02,0.48575,0.41651,34,68,123,0.2534,2.8877,2.9513,3.3376,4.3342,4.5978,4.985,8347,7455,3518,374,1,39,6
129,85.345,85.355,133.29,12413,123.98,0.97261,417.69,0.71442,0.86958,32.25,64.5,130,0.74173,3.2556,3.4594,4.225,3.3138,3.6342,4.4542,8503,7530,16,0,12,3,6
134,75.236,75.23,133.99,12953,126.41,0.96889,440.58,0.70419,0.81248,33.5,67,133,0.50855,3.6116,3.5726,4.589,4.0393,3.9794,5.5705,9767,7425,1388,0,13,19,6
132,89.095,89.09,133.04,11908,120.1,0.95138,434.16,0.65516,0.75527,33,66,129,0.30209,3.0895,3.2934,4.0482,3.6895,3.9668,4.7696,9281,7606,2303,0,8,25,6
129,86.228,86.055,131.67,11648,118.52,0.94712,423.07,0.65784,0.77454,32.25,64.5,127,0.48012,3.3052,3.3377,4.1809,3.9103,3.9811,4.9513,9362,7925,5456,82,24,5,6
138,71.064,71.09,138.05,14738,134.91,0.96994,457.34,0.77304,0.85885,34.5,69,134,0.82664,2.0125,3.0256,5.1298,1.819,1.9013,4.34,3405,0,0,0,5,0,7
130,68.942,69.105,128.88,13173,126.75,0.95787,454.91,0.72434,0.76622,32.5,65,131,0.42987,1.743,2.6501,4.4614,2.4967,2.7512,4.6363,61,1,0,0,13,0,7
131,77.74,77.467,141.4,14387,134.32,0.98485,444.48,0.77257,0.90124,32.75,65.5,140,0.68662,2.0099,2.9789,5.1969,2.0736,2.2419,4.986,3411,87,0,0,9,0,7
122,74.434,74.394,129.7,12547,123.03,0.94756,483.93,0.73826,0.63796,30.5,61,131,0.9078,1.8376,2.7434,4.1429,3.1066,3.5335,4.5309,166,0,0,0,7,0,7
129,75.755,75.748,127.64,12783,125.6,0.96918,410.09,0.76221,0.92576,32.25,64.5,123,0.56717,3.4327,3.4518,4.0256,3.2983,3.5177,3.833,9816,1641,604,0,25,3,8
134,79.294,79.294,128.08,12714,123.67,0.94486,438.35,0.72886,0.78563,33.5,67,119,0.9781,3.0935,3.2314,3.7474,3.7229,4.1523,4.2301,2566,107,0,0,178,0,8
120,81.422,81.422,126.46,11696,119.42,0.95768,395.29,0.74673,0.90081,30,60,122,0.53853,3.4203,3.5404,3.7257,5.1495,5.4136,5.3947,8581,1186,71,0,44,20,8
118,79.639,79.644,135.48,12429,125.12,0.98922,395.68,0.76055,0.98685,29.5,59,137,0.99051,3.5385,3.5449,4.3481,3.7,3.821,4.6111,6743,40,0,0,3,0,8
105,75.536,75.536,123.11,10122,112.75,0.98647,360.14,0.75472,0.9674,26.25,52.5,126,0.44642,2.7377,2.4291,3.5446,4.5455,3.7852,6.2101,8881,1495,117,1,1,61,8
113,86.798,86.8,127.8,10470,108.38,0.88109,402.18,0.61381,0.7167,28.25,56.5,125,0.53659,3.462,3.7662,3.1625,5.9893,6.6218,4.784,8951,8542,6840,89,11,33,9
113,86.798,86.8,127.8,10470,108.38,0.88109,402.18,0.61381,0.7167,28.25,56.5,125,0.53659,3.462,3.7662,3.1625,5.9893,6.6218,4.784,8951,8542,6840,89,11,33,9
113,86.798,86.8,127.8,10470,108.38,0.88109,402.18,0.61381,0.7167,28.25,56.5,125,0.53659,3.462,3.7662,3.1625,5.9893,6.6218,4.784,8951,8542,6840,89,11,33,9
113,86.798,86.8,127.8,10470,108.38,0.88109,402.18,0.61381,0.7167,28.25,56.5,125,0.53659,3.462,3.7662,3.1625,5.9893,6.6218,4.784,8951,8542,6840,89,11,33,9
121,87.568,87.418,122.75,10500,113.56,0.96457,385.05,0.68051,0.85841,30.25,60.5,119,0.68075,3.7074,4.0125,3.4455,5.7892,6.238,4.4444,9682,9243,7979,511,17,26,9
