@relation 'pollen-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AddClassification-Wweka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"-weka.filters.supervised.attribute.AddClassification-Wweka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute 1 numeric
@attribute 4 numeric
@attribute 7 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 15 numeric
@attribute 20 numeric
@attribute 26 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 47 {1,2,3,4,5,6,7,8,9}

@data
134,75.236,133.99,126.41,0.96889,440.58,0.70419,0.81248,133,3.6116,4.0393,3.9794,9767,7425,13,16,6
132,89.095,133.04,120.1,0.95138,434.16,0.65516,0.75527,129,3.0895,3.6895,3.9668,9281,7606,8,13,6
129,86.228,131.67,118.52,0.94712,423.07,0.65784,0.77454,127,3.3052,3.9103,3.9811,9362,7925,24,10,6
138,71.064,138.05,134.91,0.96994,457.34,0.77304,0.85885,134,2.0125,1.819,1.9013,3405,0,5,0,7
130,68.942,128.88,126.75,0.95787,454.91,0.72434,0.76622,131,1.743,2.4967,2.7512,61,1,13,1,7
131,77.74,141.4,134.32,0.98485,444.48,0.77257,0.90124,140,2.0099,2.0736,2.2419,3411,87,9,2,7
122,74.434,129.7,123.03,0.94756,483.93,0.73826,0.63796,131,1.8376,3.1066,3.5335,166,0,7,0,7
129,75.755,127.64,125.6,0.96918,410.09,0.76221,0.92576,123,3.4327,3.2983,3.5177,9816,1641,25,7,8
134,79.294,128.08,123.67,0.94486,438.35,0.72886,0.78563,119,3.0935,3.7229,4.1523,2566,107,178,9,8
120,81.422,126.46,119.42,0.95768,395.29,0.74673,0.90081,122,3.4203,5.1495,5.4136,8581,1186,44,79,8
118,79.639,135.48,125.12,0.98922,395.68,0.76055,0.98685,137,3.5385,3.7,3.821,6743,40,3,2,8
105,75.536,123.11,112.75,0.98647,360.14,0.75472,0.9674,126,2.7377,4.5455,3.7852,8881,1495,1,165,8
113,86.798,127.8,108.38,0.88109,402.18,0.61381,0.7167,125,3.462,5.9893,6.6218,8951,8542,11,27,9
113,86.798,127.8,108.38,0.88109,402.18,0.61381,0.7167,125,3.462,5.9893,6.6218,8951,8542,11,27,9
113,86.798,127.8,108.38,0.88109,402.18,0.61381,0.7167,125,3.462,5.9893,6.6218,8951,8542,11,27,9
113,86.798,127.8,108.38,0.88109,402.18,0.61381,0.7167,125,3.462,5.9893,6.6218,8951,8542,11,27,9
121,87.568,122.75,113.56,0.96457,385.05,0.68051,0.85841,119,3.7074,5.7892,6.238,9682,9243,17,12,9
